"SiteSeries_ID","SSCode","BGCName","BEC_Region","BGC_Zone","SubzVarPh","BGC_Subzone","BGC_Variant","BGC_Phase","SiteSeries","SSPhase","SSVariation","Seral","SiteSeriesDescription","PlantAssociation","Comments","Ref_ID","AddedDate","ExpiredDate","O_SS_ID","MergedBGC_SS","BECSuballiance","BECAlliance","MissingNpeNa","TransferID","Flag"
90.00,"06","ICH mw 3","CAR","ICH","mw3","mw","3","","06","","","","CwHw - Oak fern","","",5.00,10/11/2000 0:00:00,,90.00,"ICH mw 3 /06","","Thujpli-Tsughet-Gymndry","npe",,0
91.00,"07","ICH mw 3","CAR","ICH","mw3","mw","3","","07","","","","CwHw - Devil's club - Lady fern","","",5.00,10/11/2000 0:00:00,,91.00,"ICH mw 3 /07","","Thujpli-Tsughet-Equiset","",,0
92.00,"08","ICH mw 3","CAR","ICH","mw3","mw","3","","08","","","","CwSxw - Skunk cabbage","","",5.00,10/11/2000 0:00:00,,92.00,"ICH mw 3 /08","Tsughet-Thujpli-Oplohor","Thujpli-Tsughet-Oplohor","",,0
93.00,"09","ICH mw 3","CAR","ICH","mw3","mw","3","","09","","","","Sedge - Sphagnum","","",5.00,10/11/2000 0:00:00,,93.00,"ICH mw 3 /09","","Popubal-Alnuinc-Equiset","",,0
19.00,"07","CWH ms 1","CAR","CWH","ms1","ms","1","","07","","","","Ss - Salmonberry","","",11.00,10/11/2000 0:00:00,"38748",19.00,"CWH ms 1 /07","","","",,0
20.00,"08","CWH ms 1","CAR","CWH","ms1","ms","1","","08","","","","Act - Red-osier dogwood","","",11.00,10/11/2000 0:00:00,"38748",20.00,"CWH ms 1 /08","","","npe",,0
21.00,"09","CWH ms 1","CAR","CWH","ms1","ms","1","","09","","","","Act - Willow","","",11.00,10/11/2000 0:00:00,"38748",21.00,"CWH ms 1 /09","","","npe",,0
22.00,"10","CWH ms 1","CAR","CWH","ms1","ms","1","","10","","","","Pl - Sphagnum","","",11.00,10/11/2000 0:00:00,"38748",22.00,"CWH ms 1 /10","","","",,0
23.00,"11","CWH ms 1","CAR","CWH","ms1","ms","1","","11","","","","CwSs - Skunk cabbage","","",11.00,10/11/2000 0:00:00,"38748",23.00,"CWH ms 1 /11","","","",,0
24.00,"01","ESSFdc 2","CAR","ESSF","dc2","dc","2","","01","","","","Bl - Rhododendron - Grouseberry","","",5.00,10/11/2000 0:00:00,,24.00,"ESSFdc 2 /01","Abielas-Rhodalb-Vaccsco","Abielas-Rhodalb-Vaccmem","",,0
25.00,"02","ESSFdc 2","CAR","ESSF","dc2","dc","2","","02","","","","Juniper - Pinegrass","","",5.00,10/11/2000 0:00:00,,25.00,"ESSFdc 2 /02","Pinucon-Vaccsco-Calarub-nudum","Pinucon-Calarub-Vaccsco","",,0
26.00,"03","ESSFdc 2","CAR","ESSF","dc2","dc","2","","03","","","","PlSe - Falsebox - Pinegrass","","",5.00,10/11/2000 0:00:00,,26.00,"ESSFdc 2 /03","Pinucon-Vaccsco-Calarub","Pinucon-Calarub-Vaccsco","",,0
27.00,"04","ESSFdc 2","CAR","ESSF","dc2","dc","2","","04","","","","Bl - Grouseberry - Cladonia","","",5.00,10/11/2000 0:00:00,,27.00,"ESSFdc 2 /04","Abielas-Vaccmem-Vaccsco","Abielas-Vaccsco","NA",,0
28.00,"05","ESSFdc 2","CAR","ESSF","dc2","dc","2","","05","","","","Bl - Huckleberry - Feathermoss","","",5.00,10/11/2000 0:00:00,,28.00,"ESSFdc 2 /05","Abielas-Vaccmem-Vaccsco","Abielas-Vaccsco","NA",,0
29.00,"06","ESSFdc 2","CAR","ESSF","dc2","dc","2","","06","","","","Bl - Gooseberry - Oak fern","","",5.00,10/11/2000 0:00:00,,29.00,"ESSFdc 2 /06","Abielas-Rhodalb-Vaccsco","Abielas-Rhodalb-Vaccmem","npe",,0
