"Project","User","PlotNumber","Table","EditField","EditWhen","BeforeEdit","AfterEdit","Restore","Flag","ID"
"Sample","puket",,"On",,12/17/2021 8:48:12,,,0,0,
"Sample","puket",,"On",,1/21/2022 7:52:20,,,0,0,
"Sample","puket",,"Close",,1/21/2022 7:59:50,,,0,0,
"Sample","puket",,"Close",,1/21/2022 10:22:51,,,0,0,
"Sample","puket",,"Close",,1/21/2022 10:23:09,,,0,0,
"Sample","puket",,"Open",,1/21/2022 10:42:17,,,0,0,
"Sample","puket",,"Close",,1/21/2022 12:52:05,,,0,0,
"Sample","puket",,"Open",,1/21/2022 13:26:59,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:28:21,,,0,0,
"Sample","puket",,"Close",,1/21/2022 13:28:31,,,0,0,
"Sample","puket",,"Open",,1/21/2022 13:28:32,,,0,0,
"Sample","puket",,"Off",,1/21/2022 13:28:53,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:29:22,,,0,0,
"Sample","puket",,"Off",,1/21/2022 13:30:47,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:30:59,,,0,0,
"Sample","puket",,"Close",,1/21/2022 13:31:05,,,0,0,
"Sample","puket",,"Open",,1/21/2022 13:31:05,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:31:32,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:31:56,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:32:00,,,0,0,
"Sample","puket",,"Off",,1/21/2022 13:33:00,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:33:22,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:41:47,,,0,0,
"Sample","puket",,"Off",,1/21/2022 13:45:37,,,0,0,
"Sample","puket",,"On",,1/21/2022 13:45:50,,,0,0,
"Sample","puket",,"Close",,1/21/2022 16:02:47,,,0,0,
"Sample","puket",,"Open",,1/21/2022 16:03:01,,,0,0,
"Sample","puket",,"Close",,1/21/2022 16:03:51,,,0,0,
"Sample","puket",,"Open",,1/21/2022 16:04:31,,,0,0,
"Sample","puket",,"Close",,1/21/2022 16:04:36,,,0,0,
"Sample","puket",,"Open",,1/21/2022 16:05:00,,,0,0,
"Sample","puket",,"Close",,1/21/2022 16:05:04,,,0,0,
"Sample","puket",,"Open",,1/21/2022 16:05:20,,,0,0,
"Sample","puket",,"On",,1/21/2022 16:05:28,,,0,0,
"Sample","puket",,"On",,2/2/2022 7:49:15,,,0,0,
"Sample","puket",,"Off",,2/2/2022 7:53:07,,,0,0,
"Sample","puket",,"On",,2/15/2022 9:11:51,,,0,0,
"Sample","puket",,"Off",,2/15/2022 9:18:13,,,0,0,
"Sample","puket",,"On",,2/15/2022 11:38:32,,,0,0,
"Sample","puket",,"On",,2/15/2022 11:39:26,,,0,0,
"Sample","puket",,"Off",,2/15/2022 11:39:30,,,0,0,
"Sample","puket",,"On",,3/4/2022 7:02:20,,,0,0,
"Sample","puket","00337","_Env","Check369",3/4/2022 7:03:38,,,0,0,
"Sample","puket","00337","_Env","Check371",3/4/2022 7:03:38,,,0,0,
"Sample","puket","00337","_Env","Check373",3/4/2022 7:03:38,,,0,0,
"Sample","puket","108050","_Env","Check369",3/4/2022 7:03:50,,,0,0,
"Sample","puket","108050","_Env","Check371",3/4/2022 7:03:50,,,0,0,
