"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-794782529,"BWBSdk 2 /06","Sw - Currant - Horsetail",,11
-664311298,,,,11
1604326505,"BWBSdk 2 /06","Sw - Currant - Horsetail",,11
1857678454,"BWBSdk 2 /06","Sw - Currant - Horsetail",,11
