"User","InTime","OutTime","LocalMachine"
"puket",11/13/2018 6:04:10,11/13/2018 6:04:17,"I7C"
"puket",11/13/2018 6:19:50,11/13/2018 6:22:18,"I7C"
"puket",11/13/2018 6:22:31,11/13/2018 6:24:05,"I7C"
"puket",11/13/2018 6:24:15,11/13/2018 6:27:54,"I7C"
"puket",11/13/2018 6:29:56,11/13/2018 6:35:32,"I7C"
"puket",11/13/2018 6:41:28,11/13/2018 6:45:02,"I7C"
"puket",11/13/2018 6:45:21,11/13/2018 6:47:16,"I7C"
"puket",11/13/2018 6:51:44,11/13/2018 6:53:00,"I7C"
"puket",4/6/2018 11:05:09,4/6/2018 11:15:27,"I7C"
"puket",4/6/2018 11:15:48,4/6/2018 11:30:00,"I7C"
"puket",4/6/2018 11:30:29,4/6/2018 11:34:32,"I7C"
"puket",4/6/2018 11:34:43,4/6/2018 11:34:49,"I7C"
"Russell Klassen",2/5/2018 11:07:31,2/5/2018 11:09:05,"I7"
"Russell Klassen",2/7/2018 15:31:05,2/7/2018 15:58:34,"I7"
"Russell Klassen",2/8/2018 6:50:07,2/8/2018 6:50:15,"I7"
"Russell Klassen",2/8/2018 7:04:18,2/8/2018 7:05:17,"I7"
"Russell Klassen",2/8/2018 7:15:07,2/8/2018 9:28:37,"I7"
"Russell Klassen",2/9/2018 6:29:22,2/9/2018 6:46:29,"I7"
"Russell Klassen",2/9/2018 9:41:27,2/9/2018 19:09:28,"I7"
"Russell Klassen",2/16/2018 9:59:40,2/16/2018 14:07:26,"I7"
"Russell Klassen",2/22/2018 14:07:26,2/22/2018 16:15:52,"I7"
"Russell Klassen",2/23/2018 6:13:13,2/23/2018 19:33:24,"I7"
"Russell Klassen",2/25/2018 7:54:28,2/25/2018 7:54:36,"I7"
"Russell Klassen",2/25/2018 7:55:14,2/25/2018 8:52:46,"I7"
"Russell Klassen",2/26/2018 6:19:51,2/26/2018 18:12:47,"I7"
"Russell Klassen",2/27/2018 6:27:03,2/27/2018 15:59:02,"I7"
"Russell Klassen",2/28/2018 7:15:13,2/28/2018 7:20:19,"I7"
"Russell Klassen",2/28/2018 7:25:32,2/28/2018 7:26:13,"I7"
"Russell Klassen",3/5/2018 6:57:13,3/5/2018 6:57:18,"I7"
"Russell Klassen",3/5/2018 6:57:21,3/5/2018 6:58:49,"I7"
"Russell Klassen",3/5/2018 6:59:31,3/5/2018 7:51:07,"I7"
"Russell Klassen",3/5/2018 7:58:21,3/5/2018 8:01:02,"I7"
"Russell Klassen",3/5/2018 9:41:54,3/5/2018 9:42:37,"I7"
"Russell Klassen",3/9/2018 7:57:19,3/9/2018 8:06:59,"I7"
"Russell Klassen",3/9/2018 8:33:19,3/9/2018 9:24:28,"I7"
"Russell Klassen",3/9/2018 11:11:21,3/9/2018 11:37:43,"I7"
"Russell Klassen",3/12/2018 10:32:46,3/12/2018 10:32:56,"I7"
"Russell Klassen",3/12/2018 10:32:58,3/12/2018 10:33:44,"I7"
"Russell Klassen",3/12/2018 10:34:40,3/12/2018 10:35:26,"I7"
"Russell Klassen",3/12/2018 10:35:46,3/12/2018 10:36:34,"I7"
"Russell Klassen",3/12/2018 10:36:55,3/12/2018 10:37:21,"I7"
"Russell Klassen",3/14/2018 7:47:43,3/14/2018 8:43:04,"I7"
"Russell Klassen",3/14/2018 8:54:37,3/14/2018 15:42:52,"I7"
"Russell Klassen",3/15/2018 7:10:39,3/15/2018 7:11:43,"I7"
"Russell Klassen",3/15/2018 7:11:48,3/15/2018 7:11:53,"I7"
"Russell Klassen",3/15/2018 7:11:59,3/15/2018 7:13:55,"I7"
"Russell Klassen",3/15/2018 7:14:01,3/15/2018 7:14:02,"I7"
"Russell Klassen",3/15/2018 7:14:07,3/15/2018 7:15:17,"I7"
"Russell Klassen",3/15/2018 7:15:25,3/15/2018 7:15:33,"I7"
"Russell Klassen",3/15/2018 7:15:39,3/15/2018 7:15:41,"I7"
"Russell Klassen",3/15/2018 7:15:45,3/15/2018 7:16:07,"I7"
"Russell Klassen",3/15/2018 7:16:12,3/15/2018 7:28:30,"I7"
"Russell Klassen",3/15/2018 7:28:38,3/15/2018 9:56:34,"I7"
"Russell Klassen",3/15/2018 9:56:40,3/15/2018 10:35:55,"I7"
"puket",3/18/2018 7:27:44,3/18/2018 7:27:47,"I7C"
"puket",3/18/2018 7:28:04,3/18/2018 7:28:06,"I7C"
"puket",3/18/2018 7:28:19,3/18/2018 7:28:21,"I7C"
"puket",3/18/2018 12:19:17,3/18/2018 12:19:27,"I7C"
"puket",3/18/2018 15:26:34,3/18/2018 15:26:51,"I7C"
"puket",3/18/2018 15:26:59,3/18/2018 15:27:01,"I7C"
"puket",3/18/2018 15:27:07,3/18/2018 15:27:12,"I7C"
"puket",3/18/2018 15:27:16,3/18/2018 15:27:20,"I7C"
"puket",3/18/2018 15:27:25,3/18/2018 15:28:19,"I7C"
"puket",3/19/2018 6:58:41,3/19/2018 6:59:27,"I7C"
"puket",3/19/2018 6:59:37,3/19/2018 7:00:41,"I7C"
"puket",3/19/2018 7:00:50,3/19/2018 7:01:02,"I7C"
"puket",3/19/2018 7:01:14,3/19/2018 7:02:17,"I7C"
"puket",3/19/2018 7:02:27,3/19/2018 7:02:37,"I7C"
"puket",3/20/2018 8:30:37,3/20/2018 8:30:44,"I7C"
"puket",3/20/2018 8:30:52,3/20/2018 8:30:55,"I7C"
"puket",3/21/2018 6:41:29,3/21/2018 6:41:35,"I7C"
"puket",3/21/2018 6:41:41,3/21/2018 6:41:43,"I7C"
"puket",3/24/2018 7:54:29,3/24/2018 7:54:35,"I7C"
"puket",3/24/2018 7:54:36,3/24/2018 7:54:38,"I7C"
"puket",3/26/2018 6:03:14,3/26/2018 6:11:01,"I7C"
"puket",3/26/2018 6:11:37,3/26/2018 6:12:02,"I7C"
"puket",4/3/2018 7:45:51,4/3/2018 11:31:49,"I7C"
"puket",4/3/2018 11:34:26,4/3/2018 11:34:36,"I7C"
"puket",4/3/2018 11:34:44,4/3/2018 11:36:03,"I7C"
"puket",4/4/2018 10:34:18,4/4/2018 13:31:51,"I7C"
"puket",4/4/2018 13:32:44,4/4/2018 13:44:35,"I7C"
"puket",4/4/2018 13:45:19,4/4/2018 15:16:17,"I7C"
"puket",4/5/2018 6:56:21,4/5/2018 6:56:35,"I7C"
"puket",4/5/2018 6:56:36,4/5/2018 6:56:51,"I7C"
"puket",4/5/2018 6:56:52,4/5/2018 6:57:01,"I7C"
"puket",4/5/2018 6:57:05,4/5/2018 7:02:50,"I7C"
"puket",4/5/2018 8:30:37,4/5/2018 8:35:30,"I7C"
"puket",4/5/2018 8:38:47,4/5/2018 10:46:00,"I7C"
"puket",4/5/2018 10:46:18,4/5/2018 10:46:22,"I7C"
"puket",4/5/2018 10:46:57,4/5/2018 11:02:15,"I7C"
"puket",4/5/2018 11:02:34,4/5/2018 11:15:48,"I7C"
"puket",4/5/2018 11:16:16,4/5/2018 11:16:21,"I7C"
"puket",4/5/2018 11:16:27,4/5/2018 11:16:32,"I7C"
"puket",4/5/2018 11:16:33,4/5/2018 11:44:33,"I7C"
"puket",4/6/2018 7:43:43,4/6/2018 10:43:14,"I7C"
"puket",4/6/2018 10:43:36,4/6/2018 10:47:49,"I7C"
"puket",4/6/2018 10:48:05,4/6/2018 10:54:53,"I7C"
"puket",4/6/2018 10:55:06,4/6/2018 10:55:10,"I7C"
"puket",4/6/2018 10:55:11,4/6/2018 10:55:15,"I7C"
"puket",4/6/2018 10:55:16,4/6/2018 10:55:18,"I7C"
"puket",4/6/2018 10:55:45,4/6/2018 11:04:02,"I7C"
"puket",4/6/2018 11:04:24,4/6/2018 11:04:27,"I7C"
"puket",4/6/2018 11:34:50,4/6/2018 11:37:41,"I7C"
"puket",4/6/2018 11:38:04,4/6/2018 11:42:55,"I7C"
"puket",4/6/2018 11:42:56,4/6/2018 13:18:18,"I7C"
"puket",4/6/2018 13:18:19,4/6/2018 13:18:21,"I7C"
"puket",4/6/2018 13:18:44,4/6/2018 13:19:29,"I7C"
"puket",4/6/2018 13:20:36,4/6/2018 13:21:08,"I7C"
"puket",4/9/2018 8:36:48,4/9/2018 11:52:45,"I7C"
"puket",4/10/2018 10:26:15,4/10/2018 10:47:51,"I7C"
"puket",4/12/2018 13:00:52,4/12/2018 13:01:08,"I7C"
"puket",4/12/2018 13:01:12,4/12/2018 13:01:14,"I7C"
"puket",4/12/2018 13:01:36,4/12/2018 13:01:57,"I7C"
"puket",4/12/2018 13:01:58,4/12/2018 13:02:00,"I7C"
"puket",4/12/2018 13:02:17,4/12/2018 13:02:19,"I7C"
"puket",4/13/2018 6:43:07,4/13/2018 6:43:08,"I7C"
"puket",4/17/2018 7:54:37,4/17/2018 8:17:45,"I7C"
"puket",4/17/2018 8:23:38,4/17/2018 8:25:28,"I7C"
"puket",4/17/2018 8:25:36,4/17/2018 8:26:16,"I7C"
"puket",4/17/2018 8:57:45,4/17/2018 8:58:32,"I7C"
"puket",4/17/2018 15:19:16,4/17/2018 15:37:07,"I7C"
"puket",4/17/2018 15:37:19,4/17/2018 15:37:22,"I7C"
"puket",4/17/2018 15:37:23,4/17/2018 15:41:54,"I7C"
