"SpeciesNumber","Code","ScientificName","CodePlusStrata","CodePlusLayer","Temp"
129,,"Eurhynchium pulchellum D","EURHPULD",,
130,,"Eurybia conspicua C","EURYCONC",,
131,,"Eurybia sibirica C","EURYSIBC",,
132,,"Flavocetraria nivalis D","FLAVNIVD",,
133,,"Fragaria virginiana C","FRAGVIRC",,
134,,"Galium boreale C","GALIBORC",,
135,,"Galium trifidum C","GALITRDC",,
136,,"Galium triflorum C","GALITRFC",,
137,,"Gaultheria humifusa C","GAULHUMC",,
138,,"Gaultheria shallon B","GAULSHAB",,
139,,"Gentiana douglasiana C","GENTDOUC",,
140,,"Gentiana prostrata C","GENTPRSC",,
141,,"Geocaulon lividum C","GEOCLIVC",,
142,,"Geranium richardsonii C","GERARICC",,
143,,"Geum macrophyllum C","GEUMMACC",,
144,,"Glyceria striata C","GLYCSTRC",,
145,,"Goodyera repens C","GOODREPC",,
146,,"Gymnocarpium dryopteris C","GYMNDRYC",,
147,,"Harrimanella stelleriana C","HARRSTEC",,
148,,"Hedysarum alpinum C","HEDYALPC",,
149,,"Heracleum maximum C","HERAMAXC",,
150,,"Huperzia continentalis C","HUPECONC",,
151,,"Hylocomium splendens D","HYLOSPLD",,
152,,"Hypnum lindbergii D","HYPNLIND",,
153,,"Hypnum pratense D","HYPNPRAD",,
154,,"Icmadophila ericetorum D","ICMAERID",,
155,,"Juniperus communis B","JUNICOMB",,
156,,"Kalmia microphylla C","KALMMICC",,
157,,"Larix laricina A","LARILARA",,
158,,"Lathyrus nevadensis C","LATHNEVC",,
159,,"Lathyrus ochroleucus C","LATHOCHC",,
160,,"Lepidozia reptans D","LEPIREPD",,
161,,"Leptarrhena pyrolifolia D","LEPTPYRD",,
162,,"Leymus innovatus C","LEYMINNC",,
163,,"Ligusticum calderi C","LIGUCALC",,
164,,"Ligusticum spp. C","LIGUSTIC",,
165,,"Linnaea borealis C","LINNBORC",,
166,,"Lobaria linita D","LOBALIND",,
167,,"Lobaria spp. D","LOBARIAD",,
168,,"Lonicera spp. B","LONICERB",,
169,,"Lonicera dioica B","LONIDIOB",,
170,,"Lonicera involucrata B","LONIINVB",,
171,,"Luetkea pectinata C","LUETPECC",,
172,,"Luzula spp. C","LUZULAC",,
173,,"Luzula parviflora C","LUZUPARC",,
174,,"Lycopodium annotinum C","LYCOANNC",,
175,,"Lycopodium clavatum C","LYCOCLAC",,
176,,"Lycopodiella spp. C","LYCOPOEC",,
177,,"Lysichiton americanus C","LYSIAMEC",,
178,,"Lysimachia latifolia C","LYSILATC",,
179,,"Maianthemum canadense C","MAIACANC",,
180,,"Maianthemum racemosum C","MAIARACC",,
181,,"Maianthemum stellatum C","MAIASTEC",,
182,,"Maianthemum trifolium C","MAIATRIC",,
183,,"Marchantia polymorpha D","MARCPOLD",,
184,,"Matteuccia struthiopteris C","MATTSTRC",,
185,,"Menziesia ferruginea B","MENZFERB",,
186,,"Mertensia paniculata C","MERTPANC",,
187,,"Microseris borealis C","MICRBORC",,
188,,"Mitella spp. C","MITELLAC",,
189,,"Mitella nuda C","MITENUDC",,
190,,"Mnium marginatum D","MNIUMARD",,
191,,"Mnium spp. D","MNIUMD",,
192,,"Mnium spinulosum D","MNIUSPND",,
193,,"Moehringia lateriflora C","MOEHLATC",,
194,,"Moneses uniflora C","MONEUNIC",,
195,,"Mylia taylorii D","MYLITAYD",,
196,,"Myurella julacea D","MYURJULD",,
197,,"Neottia banksiana C","NEOTBANC",,
198,,"Neottia borealis C","NEOTBORC",,
199,,"Neottia cordata C","NEOTCORC",,
200,,"Nephrophyllidium crista-galli C","NEPHCRIC",,
201,,"Nephroma helveticum D","NEPHHELD",,
202,,"Oplopanax horridus B","OPLOHORB",,
203,,"Orthilia secunda C","ORTHSECC",,
204,,"Osmorhiza berteroi C","OSMOBERC",,
205,,"Osmorhiza depauperata C","OSMODEPC",,
206,,"Osmorhiza spp. C","OSMORHIC",,
207,,"Oxytropis maydelliana C","OxytmayC",,
208,,"Oxytropis nigrescens C","OxytnigC",,
209,,"Parnassia palustris C","PARNPALC",,
210,,"Pedicularis labradorica C","PEDILABC",,
211,,"Pedicularis ornithorhyncha C","PEDIORNC",,
212,,"Pellia spp. D","PELLIAD",,
213,,"Pellia neesiana D","PELLNEED",,
214,,"Peltigera aphthosa D","PELTAPHD",,
215,,"Peltigera canina D","PELTCAND",,
216,,"Peltigera cinnamomea D","PELTCIND",,
217,,"Peltigera didactyla D","PELTDIDD",,
218,,"Peltigera horizontalis D","PELTHORD",,
219,,"Peltigera spp. D","PELTIGED",,
220,,"Peltigera malacea D","PELTMALD",,
221,,"Peltigera membranacea D","PELTMEMD",,
222,,"Petasites frigidus var. palmatus C","PETAFRIC",,
223,,"Phyllodoce empetriformis C","PHYLEMPC",,
224,,"Phyllodoce glanduliflora C","PHYLGLAC",,
225,,"Picea glauca A","PiceSppA",,
226,,"Picea glauca B","PiceSppB",,
227,,"Pinus contorta A","PINUSPPA",,
228,,"Pinus contorta B","PINUSPPB",,
229,,"Pinus contorta D","PINUSPPD",,
230,,"Plagiomnium ciliare D","PLAGCILD",,
231,,"Plagiomnium cuspidatum D","PLAGCUSD",,
