"BGC unit","Len","MyUnit"
,,"SBS dk   /"
,,"BWBSmw 2 /"
,,"BWBSwk 1 /"
,,"BWBSdk 2 /"
,,"BWBSwk 2 /"
,,"MH  whp  /"
,,"BWBSdk 1 /"
,,"MH  whp  /"
,,"SBS mk   /"
