"normalized_code","Code","ScientificName","Lifeform","EnglishName","Codetype","source_provenance","sample_veg_usage_count","status","reviewer","review_date","rationale"
"NASTURTI","NASTURTI","Nasturtium spp.",,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"PARMPSE","PARMPSE","Parmelia barrenoae",11,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"PARMPSE","PARMPSE","Parmelia pseudosulcata",11,"cutting-edge crottle lichen","U","VLists.db::USysAllSpecs",0,"pending","","",""
"PARMPSE","PARMPSE","Parmelia sulymae",11,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"PHAEOCER","PHAEOCER","Phaeoceros spp.",10,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"PHAEOCER","PHAEOCER","Phaeoceros spp.",,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"POLYSEX","POLYSEX","Polytrichastrum sexangulare",9,"northern haircap mosses","U","VLists.db::USysAllSpecs",0,"pending","","",""
"POLYSEX","POLYSEX","Polytrichum sexangulare",9,,"XX","VLists.db::USysAllSpecs",0,"pending","","",""
"POTENIV2","POTENIV2","Potentilla nivea var. pentaphylla",7,"five-leaved cinquefoil","X","VLists.db::USysAllSpecs",0,"pending","","",""
"POTENIV2","POTENIV2","Potentilla quinquefolia",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"PYROPIC","PYROPIC","Pyrola picta",7,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"PYROPIC","PYROPIC","Pyrola picta ssp. dentata",7,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"RUMEARC","RUMEARC","Rumex arcticus",7,"arctic dock","X","VLists.db::USysAllSpecs",0,"pending","","",""
"RUMEARC","RUMEARC","Rumex arcticus var. arcticus",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"SANDWHI","SANDWHI","Halimolobos whitedii",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"SANDWHI","SANDWHI","Sandbergia whitedii",7,"Whited's halimolobos","U","VLists.db::USysAllSpecs",0,"pending","","",""
"SOLISPA","SOLISPA","Solidago spathulata",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"SOLISPA","SOLISPA","Solidago spathulata ssp. spathulata",7,,"X","VLists.db::USysAllSpecs",0,"pending","","",""
"SPILAME","SPILAME","Spilonema americanum",11,"twig cinders lichen","U","VLists.db::USysAllSpecs",0,"pending","","",""
"SPILAME","SPILAME","Spilonemella americana",11,"twig cinders lichen","XX","VLists.db::USysAllSpecs",0,"pending","","",""
"TELOSCH_","TELOSCH_","Teloschistaceae",11,,"U","VLists.db::USysAllSpecs",0,"pending","","",""
"TELOSCH_","TELOSCH_","Teloschistaceae",11,,"XX","VLists.db::USysAllSpecs",0,"pending","","",""
