"Object Type","Object Name","Control Name","Property Name","Old Value","New Value","Time"
"Query","qryUpdateForage",,,"UPDATE (Data INNER JOIN USysAllSpecs ON Data.[Scientific name] = USysAllSpecs.ScientificName) INNER JOIN USysSppAttributes ON USysAllSpecs.Code = USysSppAttributes.Code SET USysSppAttributes.P_Forage = [Grazing value for cattle]; ","UPDATE (ForageData INNER JOIN USysAllSpecs ON [ForageData].[Scientific name]=USysAllSpecs.ScientificName) INNER JOIN USysSppAttributes ON USysAllSpecs.Code = USysSppAttributes.Code SET USysSppAttributes.P_Forage = [Grazing value for cattle]; ",3/7/2014 13:24:38
"Query","Step1b",,,"SELECT [Copy Of SpeciesMaster2014].Code, Count([Copy Of SpeciesMaster2014].Code) AS CountOfCode FROM [Copy Of SpeciesMaster2014] WHERE ((([Copy Of SpeciesMaster2014].Codetype)='u')) GROUP BY [Copy Of SpeciesMaster2014].Code HAVING (((Count([Copy Of SpeciesMaster2014].Code))>1)); ","SELECT [tblSpeciesMaster2014].Code, Count([tblSpeciesMaster2014].Code) AS CountOfCode FROM tblSpeciesMaster2014 WHERE ((([tblSpeciesMaster2014].Codetype)='u')) GROUP BY [tblSpeciesMaster2014].Code HAVING (((Count([tblSpeciesMaster2014].Code))>1)); ",4/9/2014 9:54:03
"Query","Query1",,,"SELECT [Copy Of SpeciesMaster2014].*, [copy of speciesmaster2014]![code]=[oldcode] AS Test FROM Step1b INNER JOIN [Copy Of SpeciesMaster2014] ON Step1b.Code = [Copy Of SpeciesMaster2014].Code; ","SELECT tblSpeciesMaster2014.*, [tblSpeciesMaster2014]!code=[oldcode] AS Test FROM Step1b INNER JOIN tblSpeciesMaster2014 ON Step1b.Code=[tblSpeciesMaster2014].Code; ",4/9/2014 9:54:03
"Query","Step1b",,,"SELECT tblSpeciesMaster2014.Code, Count(tblSpeciesMaster2014.Code) AS CountOfCode FROM tblSpeciesMaster2014 WHERE (((tblSpeciesMaster2014.Codetype)='u')) GROUP BY tblSpeciesMaster2014.Code HAVING (((Count(tblSpeciesMaster2014.Code))>1)); ","SELECT [USysAllSpecs].Code, Count([USysAllSpecs].Code) AS CountOfCode FROM USysAllSpecs WHERE ((([USysAllSpecs].Codetype)='u')) GROUP BY [USysAllSpecs].Code HAVING (((Count([USysAllSpecs].Code))>1)); ",4/9/2014 10:58:10
