"table_name","description"
"Sample_Admin","VP08"
"Sample_Audit","VP08"
"Sample_Env","VP08"
"Sample_Herbarium","VP06"
"Sample_Hierarchy","VP04"
"Sample_Humus","VP08"
"Sample_Lump","VP05"
"Sample_Metadata","VP07"
"Sample_Mineral","VP08"
"Sample_Other","VP08"
"Sample_Profile","VP05-2"
"Sample_SU","VP04"
"Sample_Theme","VP05"
"Sample_Veg","VP08"
